"SAMPLE_ID","CD4_S1 IL2&!IL4/5/13&!IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S1 IL2&!IL4/5/13&IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S1 IL2&!IL4/5/13&!IFNg&!TNFa&!IL17a&CD154&!CD107a","CD4_S1 !IL2&!IL4/5/13&!IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S1 !IL2&!IL4/5/13&IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S1 !IL2&!IL4/5/13&!IFNg&!TNFa&!IL17a&CD154&!CD107a","CD4_S1 IL2&!IL4/5/13&IFNg&!TNFa&!IL17a&CD154&!CD107a","CD4_S1 IL2&IL4/5/13&IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S1 IL2&IL4/5/13&!IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S2 IL2&!IL4/5/13&!IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S2 IL2&!IL4/5/13&IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S2 !IL2&!IL4/5/13&!IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_S2 !IL2&!IL4/5/13&IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_NCAP IL2&!IL4/5/13&!IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_NCAP IL2&!IL4/5/13&!IFNg&!TNFa&!IL17a&CD154&!CD107a","CD4_NCAP IL2&!IL4/5/13&IFNg&TNFa&!IL17a&CD154&!CD107a","CD4_NCAP !IL2&!IL4/5/13&!IFNg&!TNFa&!IL17a&CD154&!CD107a","CD4_NCAP !IL2&!IL4/5/13&!IFNg&TNFa&!IL17a&CD154&!CD107a"
"36C"," 0.0466890750205576909870","0.0209631348014974044913"," 0.01715062681270685535084"," 0.00719888880689298696347","0.00275284919892088315863"," 0.00613923001702332445106"," 0.00550569839784176631725","0.00000000000000000000000"," 0.00000000000000000000000"," 0.02999914623228716603620","0.0417375679498376075949"," 1.1779509232042517652e-02","0.0085594453479414540215","5.7063192749571729767e-02"," 0.01599258612066192450363","0.03237770188779418023550"," 1.4599362759092597217e-02"," 1.1479351464254277868e-02"
"15548"," 0.0520858852807450020683","0.0534632767767299135753"," 0.01400076896791330009762"," 0.01193468172393594498026","0.01204217367245919920182"," 0.01103100207889698078367"," 0.01566876236363280022745","0.00000000000000000000000"," 0.00029060189973459827229"," 0.06863076589597719157076","0.0588541653782203785794"," 1.0630007424520254364e-02","0.0104652962657492652754","4.3511050204279581866e-02"," 0.01987389678367394024727","0.03049462692809800160032"," 1.4015068930332743452e-02"," 8.5546429004467079704e-03"
"6C"," 0.3467602010432626613579","0.2165627253915633487757"," 0.05715118427219838953546"," 0.03140824298669887132407","0.01750520007413967210619"," 0.00818149781360000272201"," 0.01679750101608711715384","0.00000000000000000000000"," 0.00032201859336742694922"," 0.09110920492886735722049","0.0697422086282753067588"," 2.1060786313152207033e-02","0.0072879214847925369997","1.1334900559271618437e-01"," 0.02824209985957173291160","0.03955293557668813214656","-6.7581304847185458967e-03"," 1.2349744082700404857e-02"
"15514"," 0.0753921475281890685061","0.1349662584353911454205"," 0.06289527174713432922104"," 0.00943830413401390566630","0.00249937515621094724985"," 0.01984669760071833960469"," 0.06498375406148462762879","0.00249937515621094724985"," 0.00000000000000000000000"," 0.12102901108035846178268","0.2781516375056078960171","-3.0585716470408318840e-03","0.0358905338716913394070","7.4265334061819107681e-02"," 0.04191530676648357739422","0.06470005459067106057258"," 2.0659844765816511025e-02"," 1.1094565294668462183e-02"
"113C"," 0.0159080553159666217289","0.0109691973038860378364","-0.00256351990601841848993"," 0.00085520559311550348354","0.00180450208620913351079"," 0.00356300715909324897113"," 0.00441611587888066179503","0.00000000000000000000000","-0.00113957516637797442484"," 0.01272699849422740704663","0.0326706093876459741088"," 7.6041376545466052468e-04","0.0032291447986722661076","3.9229083834109411411e-03"," 0.00381700966972745199535","0.01728011423889615899574","-7.7905394214192779170e-03","-1.4572713074284524871e-03"
"25C"," 0.0948934787955656861014","0.1061135897745086043020"," 0.01813908470727593896799"," 0.00765414323234211036590","0.03376341492825274404055","-0.01279693086939545296210"," 0.02411672494875195804642","0.00000000000000000000000","-0.00220210962101693432866"," 0.08643532602572451262191","0.1845347937377224967204"," 2.5359457167276212158e-02","0.0238109411274480611831","4.2637997860860830934e-02"," 0.01053185135617312057077","0.07519094542720329565899","-3.6606052808491988670e-02"," 1.5382871659861734048e-02"
"51C"," 0.2073692651279772647399","0.1795695043727587592031"," 0.07658289263228501564384"," 0.02141429083449461825972","0.01626104395902217003567"," 0.01599394284815389491450"," 0.03252208791804434007133","0.00000000000000000000000"," 0.00000000000000000000000"," 0.07934020382035905649687","0.0477414526507259559529","-1.2492469699617226100e-02","0.0161427014810928623478","1.4517621113330064775e-01"," 0.08512493249575457665568","0.11855647097336588502436"," 3.3619162646526527805e-02"," 1.8992864562571581261e-02"
"15575"," 0.0606645982825399707195","0.0735772956918147869043"," 0.05257674516429378108739"," 0.00782184731191742921297","0.01101518718933729851228"," 0.00631828100651685414108"," 0.04406074875734919404913","0.00137689839866716231404"," 0.00413069519600148694211"," 0.03449894759794017856658","0.0707579203059227057615"," 8.2213430028136545713e-03","0.0099813681128560014649","4.9706538357010707219e-02"," 0.05300723000437099902138","0.06398425323643240625326","-1.9260129036111604123e-02"," 1.2988319663304918276e-03"
"93C"," 0.0452276959862269040125","0.0517118155991224404122","-0.00919731299684715085385","-0.00250708038603197295308","0.00927975819601500710732","-0.02227891437149404421647","-0.00131537409239187606455","0.00000000000000000000000"," 0.00132567974228785809623"," 0.01544284931240761174487","0.0301556170587059108046","-5.4565938783283579952e-03","0.0000000000000000000000","1.1999974103327024078e-01"," 0.04174255892909606996399","0.07121641189617369804843","-7.2848984314796425346e-03"," 1.3584080054410311439e-02"
"59C"," 0.0277214454173108498791","0.0076738914635269073541"," 0.00151357025968005187364","-0.00475279110929345289388","0.00648424328880819588611"," 0.01189068015760572083472"," 0.00216141442960273181748","0.00000000000000000000000"," 0.00000000000000000000000"," 0.04036902086940818978889","0.0054322492525444134384","-5.5030392215763359893e-04","0.0064441293981183150538","3.4602298270311013240e-02"," 0.01388251450622158232606","0.02217042801185735087510"," 2.0797599048588862047e-03","-1.0295045811628505787e-03"
